execution_id,location_name,location_code,region,country,lat,lon,tz_id,localtime,temp_c,temp_f,feels_like_c,feels_like_f,humidity,wind_kph,wind_mph,wind_degree,wind_dir,gust_kph,gust_mph,pressure_mb,pressure_in,precip_mm,precip_in,cloud,uv,vis_km,vis_miles,condition_text,condition_code,aqi_us,aqi_gb,pm2_5,pm10,co,no2,o3,so2,last_updated,extract_time
EXEC-20251123-001,Hà Nội,HN,Miền Bắc,Vietnam,21.0333,105.8500,Asia/Bangkok,2025-11-23 11:28,24.2,75.6,25.3,77.5,50,7.6,4.7,340,NNW,8.7,5.4,1022.0,30.18,0.0,0.00,0,5.9,10.0,6.0,"Partly Cloudy",1003,4,10,93.05,93.05,1124.85,59.25,5.00,37.65,2025-11-23 11:15,2025-11-23 11:28:06
EXEC-20251123-001,Hải Phòng,HP,Miền Bắc,Vietnam,20.8561,106.6822,Asia/Bangkok,2025-11-23 11:28,24.0,75.1,25.0,77.0,45,3.6,2.2,14,NNE,10.8,6.7,1020.0,30.13,0.0,0.00,17,6.3,10.0,6.0,"Sunny",1000,2,3,33.25,33.25,388.85,18.65,42.00,16.35,2025-11-23 11:15,2025-11-23 11:28:06
EXEC-20251123-001,Hạ Long,QN,Miền Bắc,Vietnam,21.2333,106.9000,Asia/Bangkok,2025-11-23 11:28,24.4,76.0,25.1,77.1,40,3.6,2.2,120,ESE,10.8,6.7,1020.0,30.13,0.0,0.00,11,6.4,10.0,6.0,"Sunny",1000,2,3,26.75,26.75,291.85,15.15,22.00,6.65,2025-11-23 11:15,2025-11-23 11:28:06
EXEC-20251123-001,Bắc Ninh,BNI,Miền Bắc,Vietnam,21.1833,106.0500,Asia/Bangkok,2025-11-23 11:28,24.2,75.6,25.2,77.3,50,7.2,4.5,358,N,8.3,5.1,1022.0,30.18,0.0,0.00,0,6.1,10.0,6.0,"Sunny",1000,3,5,45.05,45.05,385.85,26.35,13.00,13.05,2025-11-23 11:15,2025-11-23 11:28:07
EXEC-20251123-001,Hải Dương,HD,Miền Bắc,Vietnam,20.9333,106.3167,Asia/Bangkok,2025-11-23 11:28,24.2,75.6,25.2,77.3,50,3.6,2.2,21,NNE,10.8,6.7,1022.0,30.18,0.0,0.00,0,6.3,10.0,6.0,"Sunny",1000,2,3,33.25,33.25,459.85,18.65,42.00,16.35,2025-11-23 11:15,2025-11-23 11:28:07
EXEC-20251123-001,Hưng Yên,HY,Miền Bắc,Vietnam,20.5410,105.9140,Asia/Bangkok,2025-11-23 11:28,24.2,75.6,25.3,77.5,50,8.6,5.4,9,N,9.9,6.2,1022.0,30.18,0.0,0.00,0,6.2,10.0,6.0,"Partly Cloudy",1003,4,10,98.15,98.45,442.85,61.85,22.00,43.05,2025-11-23 11:15,2025-11-23 11:28:07
EXEC-20251123-001,Phủ Lý,HNA,Miền Bắc,Vietnam,20.5410,105.9140,Asia/Bangkok,2025-11-23 11:28,23.2,73.7,24.8,76.6,48,8.6,5.4,9,N,9.9,6.2,1021.0,30.14,0.0,0.00,26,6.2,10.0,6.0,"Partly Cloudy",1003,4,10,98.15,98.45,442.85,61.85,22.00,43.05,2025-11-23 11:15,2025-11-23 11:28:08
EXEC-20251123-001,Nam Định,ND,Miền Bắc,Vietnam,20.4167,106.1667,Asia/Bangkok,2025-11-23 11:28,23.1,73.6,24.7,76.5,49,8.6,5.4,9,N,9.9,6.2,1021.0,30.14,0.0,0.00,26,6.2,10.0,6.0,"Partly Cloudy",1003,4,10,98.15,98.45,442.85,61.85,22.00,43.05,2025-11-23 11:15,2025-11-23 11:28:08
EXEC-20251123-001,Thái Bình,TB,Miền Bắc,Vietnam,20.4500,106.3330,Asia/Bangkok,2025-11-23 11:28,23.0,73.4,24.7,76.4,49,8.6,5.4,22,NNE,10.0,6.2,1021.0,30.14,0.0,0.00,23,6.2,10.0,6.0,"Sunny",1000,3,5,47.45,47.45,380.85,26.65,49.00,25.65,2025-11-23 11:15,2025-11-23 11:28:09
EXEC-20251123-001,Ninh Bình,NB,Miền Bắc,Vietnam,20.2539,105.9750,Asia/Bangkok,2025-11-23 11:28,24.2,75.6,25.3,77.5,50,8.6,5.4,9,N,9.9,6.2,1022.0,30.18,0.0,0.00,0,6.2,10.0,6.0,"Partly Cloudy",1003,4,10,98.15,98.45,442.85,61.85,22.00,43.05,2025-11-23 11:15,2025-11-23 11:28:09
