execution_id,location_name,location_code,region,country,lat,lon,tz_id,localtime,temp_c,temp_f,feels_like_c,feels_like_f,humidity,wind_kph,wind_mph,wind_degree,wind_dir,gust_kph,gust_mph,pressure_mb,pressure_in,precip_mm,precip_in,cloud,uv,vis_km,vis_miles,condition_text,condition_code,aqi_us,aqi_gb,pm2_5,pm10,co,no2,o3,so2,last_updated,extract_time
EXEC-20251122-002,Hà Nội,HN,Miền Bắc,Vietnam,21.0333,105.8500,Asia/Bangkok,2025-11-22 22:20,20.0,68.0,20.0,68.0,68,8.6,5.4,157,SSE,15.7,9.8,1021.0,30.15,0.0,0.00,0,0.0,7.0,4.0,"Clear",1000,2,3,27.55,27.65,226.85,5.65,128.00,26.45,2025-11-22 22:15,2025-11-22 22:22:45
EXEC-20251122-002,Hải Phòng,HP,Miền Bắc,Vietnam,20.8561,106.6822,Asia/Bangkok,2025-11-22 22:20,18.6,65.4,18.6,65.4,60,8.3,5.1,52,NE,15.3,9.5,1021.0,30.14,0.0,0.00,31,0.0,10.0,6.0,"Partly Cloudy",1003,2,2,19.55,19.55,324.85,11.85,109.00,16.95,2025-11-22 22:15,2025-11-22 22:22:45
EXEC-20251122-002,Hạ Long,QN,Miền Bắc,Vietnam,21.2333,106.9000,Asia/Bangkok,2025-11-22 22:20,17.2,63.0,17.2,63.0,60,5.0,3.1,22,NNE,9.4,5.9,1021.0,30.15,0.0,0.00,25,0.0,10.0,6.0,"Partly Cloudy",1003,2,2,20.55,20.55,260.85,7.25,110.00,20.55,2025-11-22 22:15,2025-11-22 22:22:45
EXEC-20251122-002,Bắc Ninh,BNI,Miền Bắc,Vietnam,21.1833,106.0500,Asia/Bangkok,2025-11-22 22:20,20.1,68.2,20.1,68.2,64,4.7,2.9,118,ESE,8.1,5.1,1021.0,30.15,0.0,0.00,0,0.0,8.0,4.0,"Clear",1000,2,3,25.55,25.55,270.85,8.55,113.00,33.35,2025-11-22 22:15,2025-11-22 22:22:45
EXEC-20251122-002,Hải Dương,HD,Miền Bắc,Vietnam,20.9333,106.3167,Asia/Bangkok,2025-11-22 22:20,20.0,68.0,20.0,68.0,68,9.0,5.6,56,ENE,14.6,9.1,1021.0,30.15,0.0,0.00,0,0.0,7.0,4.0,"Partly Cloudy",1003,2,2,19.55,19.55,314.85,11.85,109.00,16.95,2025-11-22 22:15,2025-11-22 22:22:45
EXEC-20251122-002,Hưng Yên,HY,Miền Bắc,Vietnam,20.6500,106.0667,Asia/Bangkok,2025-11-22 22:20,20.0,68.0,20.0,68.0,68,5.4,3.4,71,ENE,10.0,6.2,1021.0,30.15,0.0,0.00,0,0.0,7.0,4.0,"Partly Cloudy",1003,2,3,29.15,29.25,306.85,10.25,127.00,21.35,2025-11-22 22:15,2025-11-22 22:22:46
EXEC-20251122-002,Phủ Lý,HNA,Miền Bắc,Vietnam,20.5410,105.9140,Asia/Bangkok,2025-11-22 22:20,18.9,66.1,18.9,66.1,62,5.4,3.4,71,ENE,10.0,6.2,1021.0,30.14,0.0,0.00,44,0.0,10.0,6.0,"Partly Cloudy",1003,2,3,29.15,29.25,306.85,10.25,127.00,21.35,2025-11-22 22:15,2025-11-22 22:22:46
EXEC-20251122-002,Nam Định,ND,Miền Bắc,Vietnam,20.4167,106.1667,Asia/Bangkok,2025-11-22 22:20,19.1,66.3,19.1,66.3,62,5.8,3.6,69,ENE,10.5,6.5,1021.0,30.14,0.0,0.00,45,0.0,10.0,6.0,"Partly Cloudy",1003,2,3,29.15,29.25,306.85,10.25,127.00,21.35,2025-11-22 22:15,2025-11-22 22:22:46
EXEC-20251122-002,Thái Bình,TB,Miền Bắc,Vietnam,20.4500,106.3330,Asia/Bangkok,2025-11-22 22:20,19.6,67.2,19.6,67.2,59,8.6,5.4,63,ENE,15.5,9.6,1021.0,30.14,0.0,0.00,46,0.0,10.0,6.0,"Partly Cloudy",1003,2,2,21.55,21.65,262.85,8.55,122.00,16.65,2025-11-22 22:15,2025-11-22 22:22:46
EXEC-20251122-002,Ninh Bình,NB,Miền Bắc,Vietnam,20.2539,105.9750,Asia/Bangkok,2025-11-22 22:20,18.9,66.1,18.9,66.1,62,5.4,3.4,71,ENE,10.0,6.2,1021.0,30.14,0.0,0.00,44,0.0,10.0,6.0,"Partly Cloudy",1003,2,3,29.15,29.25,306.85,10.25,127.00,21.35,2025-11-22 22:15,2025-11-22 22:22:46
EXEC-20251122-002,Vĩnh Yên,VP,Miền Bắc,Vietnam,21.3100,105.5970,Asia/Bangkok,2025-11-22 22:20,20.0,68.0,20.0,68.0,68,6.5,4.0,130,SE,12.7,7.9,1021.0,30.15,0.0,0.00,0,0.0,7.0,4.0,"Clear",1000,2,3,29.35,29.45,415.85,7.65,134.00,31.85,2025-11-22 22:15,2025-11-22 22:22:46
EXEC-20251122-002,Bắc Giang,BG,Miền Bắc,Vietnam,21.2667,106.2000,Asia/Bangkok,2025-11-22 22:20,20.0,68.0,20.0,68.0,68,4.7,2.9,118,ESE,8.1,5.1,1021.0,30.15,0.0,0.00,0,0.0,7.0,4.0,"Clear",1000,2,3,25.55,25.55,270.85,8.55,113.00,33.35,2025-11-22 22:15,2025-11-22 22:22:47
EXEC-20251122-002,Việt Trì,PT,Miền Bắc,Vietnam,21.3020,105.4310,Asia/Bangkok,2025-11-22 22:20,20.0,68.0,20.0,68.0,68,3.6,2.2,279,W,4.8,3.0,1021.0,30.15,0.0,0.00,0,0.0,7.0,4.0,"Clear",1000,3,7,56.75,56.95,563.85,52.85,56.00,42.95,2025-11-22 22:15,2025-11-22 22:22:47
