execution_id,location_name,location_code,region,temp_c,temp_f,feels_like_c,feels_like_f,humidity,wind_kph,wind_mph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,cloud,uv,vis_km,vis_miles,condition_text,condition_code,aqi_us,aqi_gb,pm2_5,pm10,co,no2,o3,so2,last_updated,extract_time
EXEC-20251116-001,Hà Nội,HN,Miền Bắc,27.2,81.0,29.5,85.2,58,6.1,3.8,236,WSW,1018.0,30.06,0.0,0.00,0,0.0,10.0,6.0,"Patchy rain nearby",1063,2,3,33.05,33.05,1555.85,31.45,51.00,30.05,2025-11-16 17:00,2025-11-16 17:10:58
EXEC-20251116-001,Hải Phòng,HP,Miền Bắc,22.6,72.6,24.8,76.6,76,3.6,2.2,3,N,1018.0,30.06,0.0,0.00,44,0.0,10.0,6.0,"Partly Cloudy",1003,2,3,28.65,28.95,695.85,26.85,57.00,29.65,2025-11-16 17:00,2025-11-16 17:10:59
EXEC-20251116-001,Hạ Long,QN,Miền Bắc,21.3,70.3,21.3,70.3,78,3.6,2.2,139,SE,1018.0,30.07,0.0,0.00,95,0.0,10.0,6.0,"Overcast",1009,2,2,16.55,16.75,292.85,10.25,67.00,17.15,2025-11-16 17:00,2025-11-16 17:10:59
EXEC-20251116-001,Bắc Ninh,BNI,Miền Bắc,23.4,74.2,25.2,77.4,69,3.6,2.2,155,SSE,1018.0,30.06,0.0,0.00,90,0.0,10.0,6.0,"Overcast",1009,2,2,21.05,21.15,387.85,16.55,60.00,19.85,2025-11-16 17:00,2025-11-16 17:11:00
EXEC-20251116-001,Hải Dương,HD,Miền Bắc,27.2,81.0,30.1,86.2,58,3.6,2.2,8,N,1018.0,30.06,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,2,3,28.65,28.95,628.85,26.85,57.00,29.65,2025-11-16 17:00,2025-11-16 17:11:00
EXEC-20251116-001,Hưng Yên,HY,Miền Bắc,27.2,81.0,30.2,86.4,58,7.9,4.9,310,NW,1018.0,30.06,0.0,0.00,0,0.1,10.0,6.0,"Overcast",1009,3,4,41.85,41.95,607.85,54.45,30.00,54.05,2025-11-16 17:00,2025-11-16 17:11:00
EXEC-20251116-001,Phủ Lý,HNA,Miền Bắc,27.2,81.0,30.2,86.4,58,7.9,4.9,310,NW,1018.0,30.06,0.0,0.00,0,0.1,10.0,6.0,"Overcast",1009,3,4,41.85,41.95,607.85,54.45,30.00,54.05,2025-11-16 17:00,2025-11-16 17:11:01
EXEC-20251116-001,Nam Định,ND,Miền Bắc,21.9,71.4,21.9,71.4,76,8.3,5.1,312,NW,1018.0,30.07,0.0,0.00,90,0.1,10.0,6.0,"Overcast",1009,3,4,41.85,41.95,607.85,54.45,30.00,54.05,2025-11-16 17:00,2025-11-16 17:11:01
EXEC-20251116-001,Thái Bình,TB,Miền Bắc,22.4,72.4,24.7,76.5,75,7.6,4.7,319,NW,1018.0,30.07,0.0,0.00,90,0.1,10.0,6.0,"Overcast",1009,3,5,44.65,44.75,466.85,47.85,33.00,47.35,2025-11-16 17:00,2025-11-16 17:11:01
EXEC-20251116-001,Ninh Bình,NB,Miền Bắc,21.8,71.2,21.8,71.3,76,7.9,4.9,310,NW,1018.0,30.07,0.0,0.00,91,0.1,10.0,6.0,"Overcast",1009,3,4,41.85,41.95,607.85,54.45,30.00,54.05,2025-11-16 17:00,2025-11-16 17:11:02
