execution_id,location_name,location_code,region,temp_c,temp_f,feels_like_c,feels_like_f,humidity,wind_kph,wind_mph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,cloud,uv,vis_km,vis_miles,condition_text,condition_code,aqi_us,aqi_gb,pm2_5,pm10,co,no2,o3,so2,last_updated,extract_time
EXEC-20251119-001,Hà Nội,HN,Miền Bắc,16.2,61.2,16.2,61.2,77,6.5,4.0,336,NNW,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,1,1,11.55,12.05,426.85,6.15,74.00,13.85,2025-11-19 22:45,2025-11-19 22:58:49
EXEC-20251119-001,Hải Phòng,HP,Miền Bắc,13.1,55.6,12.9,55.2,74,6.8,4.3,345,NNW,1026.0,30.29,0.0,0.00,39,0.0,10.0,6.0,"Partly Cloudy",1003,1,2,12.45,13.15,308.85,13.05,74.00,17.45,2025-11-19 22:45,2025-11-19 22:58:49
EXEC-20251119-001,Hạ Long,QN,Miền Bắc,12.8,55.1,13.2,55.7,68,4.3,2.7,357,N,1026.0,30.29,0.0,0.00,46,0.0,10.0,6.0,"Partly Cloudy",1003,1,1,10.85,11.45,199.85,6.85,77.00,18.05,2025-11-19 22:45,2025-11-19 22:58:50
EXEC-20251119-001,Bắc Ninh,BNI,Miền Bắc,16.2,61.2,16.2,61.2,77,6.8,4.3,12,NNE,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,1,1,11.65,12.25,235.85,7.15,77.00,23.65,2025-11-19 22:45,2025-11-19 22:58:50
EXEC-20251119-001,Hải Dương,HD,Miền Bắc,16.2,61.2,16.2,61.2,77,7.2,4.5,343,NNW,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,1,2,12.45,13.15,349.85,13.05,74.00,17.45,2025-11-19 22:45,2025-11-19 22:58:50
EXEC-20251119-001,Hưng Yên,HY,Miền Bắc,16.2,61.2,16.2,61.2,77,10.1,6.3,357,N,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,2,2,15.55,16.05,263.85,9.25,89.00,17.55,2025-11-19 22:45,2025-11-19 22:58:51
EXEC-20251119-001,Phủ Lý,HNA,Miền Bắc,16.2,61.2,16.2,61.2,77,10.1,6.3,357,N,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,2,2,15.55,16.05,263.85,9.25,89.00,17.55,2025-11-19 22:45,2025-11-19 22:58:51
EXEC-20251119-001,Nam Định,ND,Miền Bắc,14.5,58.2,14.0,57.2,77,10.4,6.5,358,N,1026.0,30.29,0.0,0.00,46,0.0,10.0,6.0,"Partly Cloudy",1003,2,2,15.55,16.05,263.85,9.25,89.00,17.55,2025-11-19 22:45,2025-11-19 22:58:51
EXEC-20251119-001,Thái Bình,TB,Miền Bắc,14.3,57.7,13.7,56.7,74,10.1,6.3,354,N,1026.0,30.29,0.0,0.00,44,0.0,10.0,6.0,"Partly Cloudy",1003,1,2,15.05,15.65,276.85,12.05,82.00,23.25,2025-11-19 22:45,2025-11-19 22:58:52
EXEC-20251119-001,Ninh Bình,NB,Miền Bắc,16.2,61.2,16.2,61.2,77,10.1,6.3,357,N,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,2,2,15.55,16.05,263.85,9.25,89.00,17.55,2025-11-19 22:45,2025-11-19 22:58:52
EXEC-20251119-001,Vĩnh Yên,VP,Miền Bắc,16.2,61.2,16.2,61.2,77,3.6,2.2,296,WNW,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,1,1,10.95,11.25,259.85,7.05,71.00,15.85,2025-11-19 22:45,2025-11-19 22:58:52
EXEC-20251119-001,Bắc Giang,BG,Miền Bắc,16.2,61.2,16.2,61.2,77,6.8,4.3,12,NNE,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,1,1,11.65,12.25,235.85,7.15,77.00,23.65,2025-11-19 22:45,2025-11-19 22:58:53
EXEC-20251119-001,Việt Trì,PT,Miền Bắc,16.2,61.2,16.2,61.2,77,3.6,2.2,296,WNW,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,1,1,10.95,11.25,259.85,7.05,71.00,15.85,2025-11-19 22:45,2025-11-19 22:58:53
EXEC-20251119-001,Thái Nguyên,TN,Miền Bắc,16.2,61.2,16.2,61.2,77,5.0,3.1,354,N,1027.0,30.33,0.0,0.00,0,0.0,10.0,6.0,"Partly Cloudy",1003,1,1,9.15,9.45,280.85,4.55,69.00,10.45,2025-11-19 22:45,2025-11-19 22:58:53
EXEC-20251119-001,Lạng Sơn,LS,Miền Bắc,10.7,51.3,10.3,50.5,77,6.1,3.8,25,NNE,1027.0,30.32,0.0,0.00,46,0.0,10.0,6.0,"Partly Cloudy",1003,1,1,9.35,9.95,415.85,3.45,73.00,9.45,2025-11-19 22:45,2025-11-19 22:58:54
