execution_id,location_name,location_code,region,country,lat,lon,tz_id,localtime,temp_c,temp_f,feels_like_c,feels_like_f,humidity,wind_kph,wind_mph,wind_degree,wind_dir,gust_kph,gust_mph,pressure_mb,pressure_in,precip_mm,precip_in,cloud,uv,vis_km,vis_miles,condition_text,condition_code,aqi_us,aqi_gb,pm2_5,pm10,co,no2,o3,so2,last_updated,extract_time
EXEC-20251123-001,Hà Nội,HN,Miền Bắc,Vietnam,21.0333,105.8500,Asia/Bangkok,2025-11-23 21:21,19.2,66.6,19.2,66.6,83,3.6,2.2,150,SSE,6.7,4.2,1019.0,30.09,0.0,0.00,0,0.0,7.0,4.0,"Partly Cloudy",1003,2,4,37.65,37.65,456.85,5.05,169.00,35.95,2025-11-23 21:15,2025-11-23 21:22:18
EXEC-20251123-001,Hải Phòng,HP,Miền Bắc,Vietnam,20.8561,106.6822,Asia/Bangkok,2025-11-23 21:21,19.6,67.3,19.6,67.3,67,6.8,4.3,74,ENE,12.9,8.0,1019.0,30.10,0.0,0.00,46,0.0,10.0,6.0,"Partly Cloudy",1003,2,3,27.35,27.45,393.85,9.25,154.00,21.35,2025-11-23 21:15,2025-11-23 21:22:18
EXEC-20251123-001,Hạ Long,QN,Miền Bắc,Vietnam,21.2333,106.9000,Asia/Bangkok,2025-11-23 21:21,17.8,64.1,17.8,64.1,69,4.3,2.7,27,NNE,9.0,5.6,1020.0,30.11,0.0,0.00,46,0.0,10.0,6.0,"Partly Cloudy",1003,2,3,25.35,25.35,282.85,6.05,151.00,24.85,2025-11-23 21:15,2025-11-23 21:22:18
EXEC-20251123-001,Bắc Ninh,BNI,Miền Bắc,Vietnam,21.1833,106.0500,Asia/Bangkok,2025-11-23 21:20,19.2,66.6,19.2,66.6,83,3.6,2.2,95,E,6.2,3.9,1019.0,30.09,0.0,0.00,0,0.0,7.0,4.0,"Partly Cloudy",1003,2,3,32.15,32.15,296.85,7.05,158.00,39.95,2025-11-23 21:15,2025-11-23 21:22:19
EXEC-20251123-001,Hải Dương,HD,Miền Bắc,Vietnam,20.9333,106.3167,Asia/Bangkok,2025-11-23 21:21,19.2,66.6,19.2,66.6,83,7.2,4.5,81,E,12.2,7.6,1019.0,30.09,0.0,0.00,0,0.0,7.0,4.0,"Partly Cloudy",1003,2,3,27.35,27.45,387.85,9.25,154.00,21.35,2025-11-23 21:15,2025-11-23 21:22:19
EXEC-20251123-001,Hưng Yên,HY,Miền Bắc,Vietnam,20.5410,105.9140,Asia/Bangkok,2025-11-23 21:20,20.4,68.7,20.4,68.7,68,7.6,4.7,94,E,13.3,8.3,1019.0,30.10,0.0,0.00,53,0.0,10.0,6.0,"Partly Cloudy",1003,3,5,44.65,44.65,367.85,10.25,178.00,33.85,2025-11-23 21:15,2025-11-23 21:22:19
EXEC-20251123-001,Phủ Lý,HNA,Miền Bắc,Vietnam,20.5410,105.9140,Asia/Bangkok,2025-11-23 21:20,19.2,66.6,19.2,66.6,83,7.6,4.7,94,E,13.3,8.3,1019.0,30.09,0.0,0.00,0,0.0,7.0,4.0,"Partly Cloudy",1003,3,5,44.65,44.65,367.85,10.25,178.00,33.85,2025-11-23 21:15,2025-11-23 21:22:20
EXEC-20251123-001,Nam Định,ND,Miền Bắc,Vietnam,20.4167,106.1667,Asia/Bangkok,2025-11-23 21:20,20.5,68.9,20.5,68.9,67,7.6,4.7,92,E,13.2,8.2,1019.0,30.10,0.0,0.00,52,0.0,10.0,6.0,"Partly Cloudy",1003,3,5,44.65,44.65,367.85,10.25,178.00,33.85,2025-11-23 21:15,2025-11-23 21:22:20
EXEC-20251123-001,Thái Bình,TB,Miền Bắc,Vietnam,20.4500,106.3330,Asia/Bangkok,2025-11-23 21:21,21.0,69.8,21.0,69.8,65,9.4,5.8,84,E,15.9,9.9,1019.0,30.10,0.0,0.00,55,0.0,10.0,6.0,"Partly Cloudy",1003,2,3,31.95,32.05,319.85,6.45,169.00,22.05,2025-11-23 21:15,2025-11-23 21:22:21
EXEC-20251123-001,Ninh Bình,NB,Miền Bắc,Vietnam,20.2539,105.9750,Asia/Bangkok,2025-11-23 21:21,20.4,68.7,20.4,68.7,68,7.6,4.7,94,E,13.3,8.3,1019.0,30.10,0.0,0.00,53,0.0,10.0,6.0,"Partly Cloudy",1003,3,5,44.65,44.65,367.85,10.25,178.00,33.85,2025-11-23 21:15,2025-11-23 21:22:21
